BPM,Temp,SR
78,35,9
81,35,8
83,35,8
82,35,8
82,35,9
80,35,10
81,35,5
81,35,3
78,35,3
72,35,4
70,35,4
83,35,6
79,35,6
73,35,6
78,35,6
83,35,5
83,35,5
83,35,11
83,35,10
80,35,10
72,35,10
74,35,5
78,35,4
80,35,6
77,35,5
77,35,6
77,35,5
75,35,7
73,35,7
83,35,8
79,35,7
73,35,8
78,35,5
83,35,11
83,35,10
82,35,10
83,35,12
82,34.875,9
78,34.875,6
76,34.875,6
82,34.875,9
81,34.875,9
78,34.875,9
72,34.875,9
72,34.875,9
72,34.875,9
74,34.875,7
71,34.875,7
70,34.875,6
70,34.875,6
68,34.875,7
68,34.875,8
69,34.875,8
65,34.875,7
65,34.75,10
67,34.75,8
68,34.75,8
70,34.75,9
70,34.75,9
74,34.75,8
83,34.75,8
75,34.75,6
72,34.75,6
68,34.75,10
68,34.75,9
68,34.75,9
68,34.75,11
68,34.75,10
70,34.75,10
69,34.75,11
70,34.75,7
68,34.75,6
69,34.75,7
70,34.75,7
72,34.75,8
72,34.75,7
70,34.75,8
69,34.75,7
68,34.75,8
69,34.75,8
69,34.75,7
71,34.75,8
72,34.75,8
66,34.75,9
69,34.75,8
71,34.75,8
75,34.75,8
73,34.75,7
68,34.75,8
77,34.75,11
64,34.75,10
61,34.75,6
64,34.75,8
72,34.75,7
80,34.75,9
60,34.75,6
81,34.75,11
70,34.75,10
73,34.75,7
76,34.75,9
76,34.75,8
74,34.75,10
65,34.75,8
64,34.75,8
74,34.75,7
69,34.75,10
73,34.75,11
70,34.75,11
74,34.75,10
72,34.75,12
73,34.75,10
74,34.75,10
73,34.75,6
78,34.75,9
81,34.75,8
82,34.75,7
77,34.75,9
77,34.75,7
75,34.75,8
73,34.75,8
74,34.75,10
75,34.75,12
71,34.75,10
73,34.75,9
75,34.75,10
73,34.75,8
72,34.75,10
70,34.75,10
70,34.75,10
69,34.75,9
71,34.75,10
71,34.75,9
69,34.75,9
71,34.75,9
73,34.75,8
60,34.75,9
61,34.75,10
74,34.75,9
71,34.75,7
73,34.75,9
72,34.75,8
70,34.75,10
71,34.75,9
74,34.75,7
69,34.75,8
76,34.75,12
61,33.25,12
56,33.25,29
67,33.25,37
74,33.25,9
78,33.25,4
81,33.75,56
76,34,72
76,34,65
83,34.25,63
83,34.25,55
78,34.5,82
82,34.5,76
82,34.5,71
82,34.75,66
75,34.75,45
74,34.75,53
74,34.75,54
82,34.75,58
78,34.75,68
80,34.75,67
67,34.75,80
65,34.75,77
67,34.75,76
68,34.75,72
70,34.75,70
65,34.75,72
60,34.75,72
58,34.75,65
62,34.75,67
58,34.75,67
59,34.75,68
63,34.75,67
72,34.75,67
70,34.75,65
71,34.75,63
70,34.75,64
69,34.75,63
70,34.75,62
69,34.75,61
68,34.75,58
68,34.75,61
68,34.75,69
63,34.75,65
62,34.75,64
70,34.75,62
62,34.75,57
60,34.75,56
75,34.75,72
75,35,77
71,35,76
75,35,72
82,35,72
82,35,71
82,35,71
77,35,71
70,35,70
67,35,70
66,35,70
69,35,71
71,35,69
78,35,73
77,35,76
71,35,84
67,35,79
64,35,75
65,35,73
72,35,78
80,35,64
75,35,164
76,35,83
74,35,76
57,35,71
61,35,71
66,35,74
74,34.875,64
67,34.875,62
65,34.875,62
62,34.875,57
69,34.875,57
70,34.875,57
67,34.875,57
66,34.875,60
61,34.875,62
62,34.875,62
62,34.875,62
63,34.875,62
63,34.875,62
63,34.875,62
64,34.875,64
63,34.875,62
63,34.875,57
63,34.875,57
62,34.875,57
64,34.875,57
67,34.8125,58
69,34.875,60
71,34.875,75
69,34.875,78
67,34.875,76
67,34.8125,86
67,34.8125,92
68,34.8125,86
71,34.8125,81
76,34.875,83
78,34.8125,92
77,34.875,165
75,34.8125,84
66,34.8125,82
63,34.875,85
60,34.8125,83
60,34.875,82
62,34.8125,81
66,34.8125,81
68,34.8125,80
69,34.8125,80
67,34.8125,115
64,34.875,79
64,34.875,72
61,34.8125,73
65,34.8125,73
64,34.8125,72
62,34.8125,72
61,34.8125,71
61,34.8125,75
63,34.8125,75
66,34.75,72
64,34.8125,69
62,34.75,70
60,34.75,70
60,34.8125,69
63,34.75,69
64,34.75,68
64,34.8125,64
64,34.8125,53
64,34.8125,63
65,34.8125,62
66,34.75,58
64,34.8125,59
63,34.75,59
62,34.8125,71
63,34.75,73
66,34.75,72
67,34.8125,74
68,34.75,75
70,34.75,78
65,34.75,87
61,34.75,92
63,34.8125,101
56,34.75,98
61,34.75,90
63,34.75,88
64,34.75,87
71,34.75,84
73,34.75,83
71,34.75,84
70,34.75,83
65,34.75,82
64,34.75,80
63,34.75,79
63,34.75,78
64,34.6875,79
64,34.75,78
66,34.75,77
67,34.75,77
66,34.75,77
65,34.75,76
62,34.75,75
62,34.75,75
63,34.6875,74
63,34.75,71
65,34.6875,70
67,34.75,71
66,34.6875,69
65,34.75,69
61,34.75,72
60,34.75,71
61,34.6875,70
64,34.6875,69
64,34.6875,70
67,34.6875,69
64,34.6875,69
62,34.6875,68
61,34.75,68
61,34.6875,69
61,34.6875,68
61,34.6875,68
62,34.6875,68
62,34.6875,66
64,34.6875,66
63,34.6875,65
62,34.6875,66
59,34.625,66
59,34.625,66
61,34.625,66
64,34.6875,66
66,34.6875,65
65,34.625,63
64,34.625,62
64,34.625,64
64,34.625,62
65,34.625,63
65,34.625,66
59,34.6875,80
60,34.625,85
68,34.5,65
72,34.5,83
71,34.5,82
63,34.5,67
59,34.5,69
57,34.5,64
62,34.5,75
65,34.5,74
64,34.5,73
61,34.5,74
65,34.5,69
70,34.5,67
70,34.5,66
67,34.5,67
65,34.5,66
63,34.5,65
56,34.5,65
64,34.5,65
65,34.5,64
64,34.5,64
58,34.5,64
60,34.5,66
59,34.5,64
80,34.4375,150
65,34.4375,137
60,34.5,133
75,34.4375,118
82,34.3125,99
83,34.375,101
83,34.375,99
83,34.3125,94
83,34.3125,90
83,34.3125,111
82,34.3125,125
83,34.375,116
80,34.3125,109
80,34.3125,108
66,34.3125,108
61,34.25,123
59,34.3125,133
76,34.3125,127
72,34.25,130
