BPM,Temp,SR
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
72,37,600
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
71,36,500
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
73,38,700
72,37,600
72,37,600
72,37,600
